Fájlnév,Kulcs
aat_bop_l_english.yml,SWE_riksdag_political_balance
aat_bop_l_english.yml,SWE_bop_left_side
aat_bop_l_english.yml,SWE_bop_right_side
aat_bop_l_english.yml,SWE_riksdag_balance_of_power_category
aat_bop_l_english.yml,SWE_centre_range
aat_bop_l_english.yml,SWE_socialist_range
aat_bop_l_english.yml,SWE_social_democrat_range
aat_bop_l_english.yml,SWE_left_coalition
aat_bop_l_english.yml,SWE_right_coalition
aat_bop_l_english.yml,SWE_conservative_range
aat_bop_l_english.yml,SWE_national_socialist_range
aat_bop_l_english.yml,SWE_return_of_the_king
aat_bop_l_english.yml,DEN_balance_of_power
aat_bop_l_english.yml,DEN_welfare_side
aat_bop_l_english.yml,DEN_warfare_side
aat_bop_l_english.yml,DEN_welfare_low_range
aat_bop_l_english.yml,DEN_welfare_medium_range
aat_bop_l_english.yml,DEN_welfare_high_range
aat_bop_l_english.yml,DEN_welfare_max_range
aat_bop_l_english.yml,DEN_warfare_low_range
aat_bop_l_english.yml,DEN_warfare_medium_range
aat_bop_l_english.yml,DEN_warfare_high_range
aat_bop_l_english.yml,DEN_warfare_max_range
aat_bop_l_english.yml,DEN_occupation_balance
aat_bop_l_english.yml,DEN_autonomy_side
aat_bop_l_english.yml,DEN_annexation_side
aat_bop_l_english.yml,DEN_autonomy_low_range
aat_bop_l_english.yml,DEN_autonomy_medium_range
aat_bop_l_english.yml,DEN_autonomy_high_range
aat_bop_l_english.yml,DEN_autonomy_max_range
aat_bop_l_english.yml,DEN_annexation_low_range
aat_bop_l_english.yml,DEN_annexation_medium_range
aat_bop_l_english.yml,DEN_annexation_high_range
aat_bop_l_english.yml,DEN_annexation_max_range
aat_bop_l_english.yml,FIN_power_balance
aat_bop_l_english.yml,FIN_bad_side
aat_bop_l_english.yml,FIN_good_side
aat_bop_l_english.yml,FIN_medium_trust_range
aat_bop_l_english.yml,FIN_low_trust_range
aat_bop_l_english.yml,FIN_very_low_trust_range
aat_bop_l_english.yml,FIN_high_trust_range
aat_bop_l_english.yml,FIN_very_high_trust_range
aat_bop_l_english.yml,FIN_motion_of_no_confidence_cost_medium_range_tt
aat_bop_l_english.yml,FIN_motion_of_no_confidence_cost_bad_range_tt
aat_bop_l_english.yml,FIN_motion_of_no_confidence_cost_very_bad_range_tt
aat_bop_l_english.yml,FIN_motion_of_no_confidence_cost_unavailable_tt
aat_bop_l_english.yml,FIN_bop_modifier_eradicate_socialism
aat_bop_l_english.yml,FIN_bop_modifier_eradicate_extremists
aat_bop_l_english.yml,FIN_bop_modifier_dream_of_greater_finland
aat_bop_l_english.yml,FIN_bop_modifier_reliable_leader
aat_bop_l_english.yml,FIN_bop_modifier_realist_conservative
aat_bop_l_english.yml,FIN_bop_modifier_finnish_sovereignty_threatened
aat_bop_l_english.yml,FIN_bop_modifier_concerning_support_for_socialists
aat_bop_l_english.yml,FIN_bop_modifier_concerning_support_for_extremists
aat_bop_l_english.yml,FIN_bop_modifier_appointed_regent
aat_bop_l_english.yml,FIN_bop_modifier_caretaker
aat_bop_l_english.yml,FIN_bop_modifier_strong_nation
aat_bop_l_english.yml,FIN_bop_modifier_united_nation
aat_bop_l_english.yml,FIN_bop_modifier_divided_proletariat
aat_bop_l_english.yml,FIN_bop_modifier_anti_fascist_crusade
aat_bop_l_english.yml,FIN_bop_modifier_obliterated_european_fascism
aat_bop_l_english.yml,FIN_bop_modifier_forgotten_finno_karelians
aat_bop_l_english.yml,FIN_bop_modifier_a_solar_system_of_organizations
aat_characters_l_english.yml,DEN_thorvald_stauning
aat_characters_l_english.yml,DEN_freedom_council
aat_characters_l_english.yml,DEN_knud_bach
aat_characters_l_english.yml,DEN_christian_x
aat_characters_l_english.yml,DEN_aksel_larsen
aat_characters_l_english.yml,DEN_frits_clausen
aat_characters_l_english.yml,DEN_werner_best
aat_characters_l_english.yml,DEN_erik_with
aat_characters_l_english.yml,DEN_frederik_christian_essemann
aat_characters_l_english.yml,DEN_carl_jacobsen
aat_characters_l_english.yml,DEN_christian_peder_kryssing
aat_characters_l_english.yml,DEN_erik_leschly
aat_characters_l_english.yml,DEN_erik_moller
aat_characters_l_english.yml,DEN_paul_ramm
aat_characters_l_english.yml,DEN_charles_henry_rye
aat_characters_l_english.yml,DEN_emmanuel_briand_de_crevecoeur
aat_characters_l_english.yml,DEN_christian_evers
aat_characters_l_english.yml,DEN_paul_ipsen
aat_characters_l_english.yml,DEN_frederik_ix
aat_characters_l_english.yml,DEN_prince_frederik
aat_characters_l_english.yml,DEN_christian_forslev
aat_characters_l_english.yml,DEN_asger_grandjean
aat_characters_l_english.yml,DEN_aage_falking
aat_characters_l_english.yml,DEN_johan_von_stemann
aat_characters_l_english.yml,DEN_peter_horn
aat_characters_l_english.yml,DEN_peter_rochegune_munch
aat_characters_l_english.yml,DEN_christmas_moller
aat_characters_l_english.yml,DEN_vilhelm_buhl
aat_characters_l_english.yml,DEN_erik_scavenius
aat_characters_l_english.yml,DEN_jorgen_jorgensen
aat_characters_l_english.yml,DEN_cay_lembcke
aat_characters_l_english.yml,DEN_hans_hedtoft
aat_characters_l_english.yml,DEN_alsing_andersen
aat_characters_l_english.yml,DEN_karl_kristian_steincke
aat_characters_l_english.yml,DEN_arnold_peter_moller
aat_characters_l_english.yml,DEN_niels_bohr
aat_characters_l_english.yml,DEN_emil_strobech
aat_characters_l_english.yml,FIN_pehr_evind_svinhufvud
aat_characters_l_english.yml,FIN_juho_kusti_paasikivi
aat_characters_l_english.yml,FIN_vaino_tanner
aat_characters_l_english.yml,FIN_otto_wille_kuusinen
aat_characters_l_english.yml,FIN_woldemar_hagglund
aat_characters_l_english.yml,FIN_juho_heiskanen
aat_characters_l_english.yml,FIN_wiljo_einar_tuompo
aat_characters_l_english.yml,FIN_aarne_juutilainen
aat_characters_l_english.yml,FIN_kurt_martti_wallenius
aat_characters_l_english.yml,FIN_fanni_luukkonen
aat_characters_l_english.yml,FIN_paavo_talvela
aat_characters_l_english.yml,FIN_hannu_hannuksela
aat_characters_l_english.yml,FIN_hjalmar_siilasvuo
aat_characters_l_english.yml,FIN_taavetti_laatikainen
aat_characters_l_english.yml,FIN_matti_aarnio
aat_characters_l_english.yml,FIN_ruben_lagus
aat_characters_l_english.yml,FIN_lauri_torni
aat_characters_l_english.yml,FIN_erkki_raappana
aat_characters_l_english.yml,FIN_aarne_sihvo
aat_characters_l_english.yml,FIN_paavo_susitaival
aat_characters_l_english.yml,FIN_ragnar_hakola
aat_characters_l_english.yml,FIN_svante_sundman
aat_characters_l_english.yml,FIN_emil_vaateri
aat_characters_l_english.yml,FIN_eyolf_mattsson
aat_characters_l_english.yml,FIN_toivo_antikainen
aat_characters_l_english.yml,FIN_gustaf_magnusson
aat_characters_l_english.yml,FIN_torsti_verkkola
aat_characters_l_english.yml,FIN_aksel_airo
aat_characters_l_english.yml,FIN_frans_helminen
aat_characters_l_english.yml,FIN_alpo_marttinen
aat_characters_l_english.yml,FIN_kaarlo_somerto
aat_characters_l_english.yml,FIN_reino_hallamaa
aat_characters_l_english.yml,FIN_johan_arajuuri
aat_characters_l_english.yml,GER_nikolaus_von_falkenhorst
aat_characters_l_english.yml,FIN_aimo_lahti
aat_characters_l_english.yml,FIN_rudolf_holsti
aat_characters_l_english.yml,FIN_aimo_cajander
aat_characters_l_english.yml,FIN_hilja_riipinen
aat_characters_l_english.yml,FIN_esko_riekki
aat_characters_l_english.yml,FIN_elias_simojoki
aat_characters_l_english.yml,FIN_vilho_helanen
aat_characters_l_english.yml,FIN_reino_ala_kulju
aat_characters_l_english.yml,FIN_ilmari_kianto
aat_characters_l_english.yml,FIN_urho_kekkonen
aat_characters_l_english.yml,FIN_ernst_von_born
aat_characters_l_english.yml,FIN_karl_august_fagerholm
aat_characters_l_english.yml,FIN_miina_sillanpaa
aat_characters_l_english.yml,FIN_mandi_hannula
aat_characters_l_english.yml,FIN_otto_brusiin
aat_characters_l_english.yml,FIN_yrjo_leino
aat_characters_l_english.yml,FIN_aarne_saarinen
aat_characters_l_english.yml,FIN_karl_harald_wiik
aat_characters_l_english.yml,FIN_kaisu_mirjami_rydberg
aat_characters_l_english.yml,FIN_sandra_lehtinen
aat_characters_l_english.yml,FIN_kullervo_manner
aat_characters_l_english.yml,FIN_arvo_tuominen
aat_characters_l_english.yml,FIN_nikke_parmi
aat_characters_l_english.yml,KAR_peteris_irklis
aat_characters_l_english.yml,KAR_ukki_vainamoinen
aat_characters_l_english.yml,KAR_jalmari_takkinen
aat_characters_l_english.yml,FIN_prince_wolfgang_von_hesse
aat_characters_l_english.yml,ICE_hermann_jonasson
aat_characters_l_english.yml,ICE_gisli_sigurbjornsson
aat_characters_l_english.yml,ICE_brynjolfur_bjarnason
aat_characters_l_english.yml,ICE_sveinn_bjornsson
aat_characters_l_english.yml,ICE_olafur_thors
aat_characters_l_english.yml,ICE_king_knud
aat_characters_l_english.yml,ICE_eysteinn_jonsson
aat_characters_l_english.yml,ICE_haraldur_gudhmundsson
aat_characters_l_english.yml,ICE_skuli_gudhmundsson
aat_characters_l_english.yml,ICE_stefan_johann_stefansson
aat_characters_l_english.yml,ICE_jakob_moller
aat_characters_l_english.yml,ICE_magnus_jonsson
aat_characters_l_english.yml,ICE_einar_arnorsson
aat_characters_l_english.yml,ICE_bjorn_olafsson
aat_characters_l_english.yml,ICE_vilhjalmur_thor
aat_characters_l_english.yml,ICE_johann_saemundsson
aat_characters_l_english.yml,ICE_bjorn_thordharson
aat_characters_l_english.yml,ICE_olafur_petursson
aat_characters_l_english.yml,ICE_olaf_j_thorlacius
aat_characters_l_english.yml,ICE_einar_olgeirsson
aat_characters_l_english.yml,ICE_isleifur_hognason
aat_characters_l_english.yml,ICE_agnar_eldberg_kofoed_hansen
aat_characters_l_english.yml,ICE_bjorn_sveinsson_bjornsson
aat_characters_l_english.yml,ICE_werner_gerlach
aat_characters_l_english.yml,NOR_johan_nygaardsvold
aat_characters_l_english.yml,NOR_peder_anker_wedel_jarlsberg
aat_characters_l_english.yml,NOR_martin_tranmael
aat_characters_l_english.yml,NOR_adam_egede_nissen
aat_characters_l_english.yml,NOR_vidkun_quisling
aat_characters_l_english.yml,NOR_johan_h_andresen
aat_characters_l_english.yml,NOR_olav_scheflo
aat_characters_l_english.yml,NOR_king_haakon_vii
aat_characters_l_english.yml,NOR_queen_mathilde_i
aat_characters_l_english.yml,NOR_prince_olav
aat_characters_l_english.yml,NOR_josef_terboven
aat_characters_l_english.yml,NOR_jonas_lie
aat_characters_l_english.yml,NOR_johan_ludwig_mowinckel
aat_characters_l_english.yml,NOR_axel_aubert
aat_characters_l_english.yml,NOR_peder_furubotn
aat_characters_l_english.yml,NOR_jeanette_olsen
aat_characters_l_english.yml,NOR_lev_trotsky
aat_characters_l_english.yml,NOR_sverre_riisnaes
aat_characters_l_english.yml,NOR_birger_meidell
aat_characters_l_english.yml,NOR_ragnar_skancke
aat_characters_l_english.yml,NOR_carl_gustav_fleischer
aat_characters_l_english.yml,NOR_jacob_ager_laurantzon
aat_characters_l_english.yml,NOR_rasmus_hatledal
aat_characters_l_english.yml,NOR_bjorn_christophersen
aat_characters_l_english.yml,NOR_jacob_hivden_haug
aat_characters_l_english.yml,NOR_joakim_lehmkuhl
aat_characters_l_english.yml,NOR_hans_ystgaard
aat_characters_l_english.yml,NOR_birger_eriksen
aat_characters_l_english.yml,JAN_grand_admiral_johan_mayen
aat_characters_l_english.yml,SWE_gosta_bagge
aat_characters_l_english.yml,SWE_fallen_riksdag
aat_characters_l_english.yml,SWE_rikard_persson
aat_characters_l_english.yml,SWE_nils_flyg
aat_characters_l_english.yml,SWE_king_gustaf_v
aat_characters_l_english.yml,SWE_king_gustaf_v_the_great
aat_characters_l_english.yml,SWE_arne_beurling
aat_characters_l_english.yml,SWE_herman_eriksson
aat_characters_l_english.yml,SWE_ebba_palmstierna
aat_characters_l_english.yml,SWE_christian_gunter
aat_characters_l_english.yml,SWE_rickard_sandler
aat_characters_l_english.yml,SWE_alva_myrdal
aat_characters_l_english.yml,SWE_gunnar_myrdal
aat_characters_l_english.yml,SWE_per_edvin_skold
aat_characters_l_english.yml,SWE_martin_ekstrom
aat_characters_l_english.yml,SWE_tage_erlander
aat_characters_l_english.yml,SWE_birger_furugard
aat_characters_l_english.yml,SWE_karl_kilbom
aat_characters_l_english.yml,SWE_sven_hedengren
aat_characters_l_english.yml,SWE_sven_hedin
aat_characters_l_english.yml,SWE_konrad_hallgren
aat_characters_l_english.yml,SWE_ture_nerman
aat_characters_l_english.yml,SWE_fredrik_strom
aat_characters_l_english.yml,SWE_zeth_hoglund
aat_characters_l_english.yml,SWE_carl_lindhagen
aat_characters_l_english.yml,SWE_hugo_silen
aat_characters_l_english.yml,SWE_carl_ehrensvard
aat_characters_l_english.yml,SWE_ernst_linder
aat_characters_l_english.yml,SWE_frans_severin
aat_characters_l_english.yml,SWE_exiled_revolutionaries
aat_characters_l_english.yml,SWE_nordic_defense_council_leader
aat_characters_l_english.yml,SWE_raoul_wallenberg
aat_characters_l_english.yml,SWE_natanael_beskow
aat_characters_l_english.yml,SMI_democratic_council
aat_characters_l_english.yml,SMI_communism_council
aat_characters_l_english.yml,SMI_neutrality_council
aat_characters_l_english.yml,SMI_fascism_council
aat_decisions_l_english.yml,ICE_drilling_for_oil_off_shore
aat_decisions_l_english.yml,ICE_drilling_for_oil_off_shore_repeat_tt
aat_decisions_l_english.yml,no_more_oil_tt
aat_decisions_l_english.yml,no_more_oil_flag
aat_decisions_l_english.yml,ICE_improve_the_viking_spirit
aat_decisions_l_english.yml,ICE_already_improving_the_viking_spirit_flag
aat_decisions_l_english.yml,ICE_a_new_yggdrasill
aat_decisions_l_english.yml,ICE_a_new_yggdrasill_desc
aat_decisions_l_english.yml,ICE_has_best_spirit_idea
aat_decisions_l_english.yml,ICE_the_wisdom_of_odin
aat_decisions_l_english.yml,ICE_the_wisdom_of_odin_desc
aat_decisions_l_english.yml,ICE_the_might_of_thor
aat_decisions_l_english.yml,ICE_the_might_of_thor_desc
aat_decisions_l_english.yml,ICE_the_guidance_of_aegir_and_ran
aat_decisions_l_english.yml,ICE_the_guidance_of_aegir_and_ran_desc
aat_decisions_l_english.yml,ICE_the_ferocity_of_the_fenrir
